taxon_name,genome_size,plant_height,plant_tolerance_soil_salinity,resprouting_capacity_proportion_individuals,reproductive_maturity,seed_viability,fire_time_from_fire_to_peak_flowering,fire_time_from_fire_to_50_percent_flowering,seed_germination_time,fire_time_from_fire_to_fruiting,seedbank_longevity,ploidy,bud_bank_location,clonal_spread_mechanism,dispersal_appendage,dispersal_syndrome,dispersers,flower_colour,flowering_time,fruiting_time,leaf_phenology,life_form,life_history,nitrogen_fixing,plant_growth_form,plant_photosynthetic_organ,pollination_syndrome,pollination_system,post_fire_recruitment,resprouting_capacity,root_structure,seedbank_location,seedbank_longevity_class,serotiny,sex_type,vegetative_reproduction_ability,woodiness_detailed,leaf_type,parasitic,plant_physical_defence_structures,plant_tolerance_inundation,plant_tolerance_salt,plant_tolerance_snow,plant_tolerance_water_logged_soils,seed_dormancy_class,stem_growth_habit,woodiness,plant_growth_substrate,plant_type_by_resource_use,resprouting_capacity_non_fire_disturbance,storage_organ,plant_succulence,plant_flood_regime_classification,flowering_cues,competitive_stratum,post_fire_flowering,recruitment_time,plant_tolerance_calcicole
Lactuca serriola,,1.54,,,,,,,,,,,none (1),,,anemochory (2),wind (1),yellow_orange (1),nnnnnnnnnnyn (1); nnnnnnnnynnn (1); yyyynnnnyyyy (1),yyyyynnnyyyy (1),,therophyte (1),annual (8); biennial (8),non_nitrogen_fixer (1),herb (10),leaf (4),,,post_fire_recruitment (4),fire_killed (6),arbuscular_mycorrhizal (1),soil_seedbank (1),widely_dispersed (1),,,not_vegetative (1),herbaceous (7),,,,,,,,,erect (1); rosette (1),,,,,,,terrestrial_dry (1),,,,,
Lantana camara,,2.86,,,,,,,,,,,basal_buds (1); basal_stem_buds (1); none (2),,,endozoochory (1); zoochory (1),birds (2); vertebrates (2),pink (1); white_cream (1); yellow_orange (1),nnnnnnnnnnnn (1); nnnnnnnnnynn (1); ynnnnnnnyyyy (1); yyyyyynnnnnn (1); yyyyyyyyyyyy (1),yyyyynnnnnyy (1); yyyyyyyyyyyy (1),,,perennial (8),,climber (2); climber_herbaceous (2); climber_woody (1); shrub (11),leaf (4),bee (1),,post_fire_recruitment (1),fire_killed (4); resprouts (6),,,,,,not_vegetative (1),woody (8),,,,,,,,,climbing (3); dense (2); erect (1); sprawling (1),,,,,,,,,,,,
Lasiopetalum ferrugineum,,1.4,,,,,,,,,,,basal_buds (1); none (1),,elaiosome (1),myrmecochory (3); zoochory (2),ants (1); invertebrates (2),,nnnnnnnnnyyn (2); nnnnnnnnyyyn (3),,,,perennial (3),non_nitrogen_fixer (2),shrub (9),leaf (2),insect (2),,post_fire_recruitment (2),fire_killed (4); resprouts (1),,soil_seedbank (1),persistent (3),not_serotinous (1),hermaphrodite (1),not_vegetative (3),woody (3),,not_parasitic (2),absent (2),not_applicable (2),salinity_tolerance_undefined (2),not_applicable (2),not_applicable (2),,prostrate (1),woody (1),,,,,,,,,,,
Lasiopetalum parviflorum,,0.75,,,,,,,,,,,none (1),,,myrmecochory (1),ants (1),white_cream (1),nnnnnnnnynnn (1); nnnnnnnnyyyn (2),,,,perennial (2),,shrub (3),leaf (1),,,,fire_killed (2); partial_resprouting (1),,soil_seedbank (1),persistent (1),,hermaphrodite (1),,woody (2),,,,,,,,physical_dormancy (1),prostrate (1),,,,,,,,,,,,
Lasiopetalum rufum,,0.88,,,,,,,,,,,,,,,,,nnnnnnnnyyyn (1); nnnnnnnyyyyn (1),,,,perennial (2),,shrub (3),leaf (1),,,,,,,,not_serotinous (1),hermaphrodite (1),,woody (2),,,,,,,,physical_dormancy (1),erect (1),,,,,,,,,,,,
Laxmannia gracilis,,0.29,,,,,,10.7,,,,,rhizome (1),,,barochory (2),,pink (1); red_brown (1); white_cream (1),nnnnnnnnnnyn (2); nnnnnnnnnnyy (1); nnnnnnyyyynn (3); nnnnnnyyyyyn (2),,,,perennial (3),non_nitrogen_fixer (1),herb (7),leaf (3),insect (1),,,fire_killed (2); partial_resprouting (1),,soil_seedbank (1),persistent (2),,hermaphrodite (1),not_vegetative (1),herbaceous (3),broadleaf (1),not_parasitic (1),absent (1),not_applicable (1),salinity_tolerance_undefined (1),not_applicable (1),not_applicable (1),morphophysiological_dormancy (1),erect (2),,,,,rhizome (2),,,,,,,
Leichhardtia flavescens,,2.5,,,,,,,,,,,basal_stem_buds (1),,hairs (1); wing_or_plume (1),anemochory (4); endozoochory (1),wind (4),yellow_orange (1),yynnnnnnnnny (3),,evergreen (1),,perennial (3),non_nitrogen_fixer (1),climber (3); climber_herbaceous (3); climber_woody (4),leaf (3),insect (1),,post_fire_recruitment_absent (1),fire_killed (1); resprouts (1),,,persistent (1),,hermaphrodite (1),not_vegetative (1),semi_woody (1); woody (2),broadleaf (1),not_parasitic (1),absent (1),less_than_1_month (1),salinity_tolerance_undefined (1),not_applicable (1),less_than_1_month (1),,climbing (1); sprawling (1),herbaceous (1); woody (1),,,,,,,,,,,
Leichhardtia suaveolens,,1,,,,,,,,,,,basal_stem_buds (1); bud-bearing_root (1),,,anemochory (3),wind (2),white_cream (1),nnnnnnnnnnyy (1); yynnnnnnnnny (3),,evergreen (1),,perennial (2),non_nitrogen_fixer (1),climber_herbaceous (2); climber_woody (3); shrub (2); subshrub (1),leaf (2),insect (1),,post_fire_recruitment_absent (1),resprouts (5),,,persistent (1),,hermaphrodite (1),not_vegetative (1),woody (1),broadleaf (1),not_parasitic (1),absent (1),less_than_1_month (1),glycophyte (1),not_applicable (1),less_than_1_month (1),,climbing (1),,,,resprouts_non_fire_disturbance (1),,,,,,,,
Leichhardtia viridiflora,,4,,,,,,,,,,,basal_stem_buds (1),,,anemochory (2),wind (2),green (1); yellow_orange (1),nnnnnnnnyyyn (1); yynnnnnnnnyy (1); yyynnnnnnnnn (1); yyyynnnnnnyy (1),nnnyyyyyynnn (1),,,perennial (3),non_nitrogen_fixer (2),climber (1); climber_herbaceous (5); climber_woody (2),leaf (3),insect (1),,post_fire_recruitment_absent (1),resprouts (2),,,persistent (1),,hermaphrodite (1),not_vegetative (1),herbaceous (2); woody (1),broadleaf (1),not_parasitic (1),absent (1),less_than_1_month (1),salinity_tolerance_undefined (1),not_applicable (1),less_than_1_month (1),,climbing (1),,,,resprouts_non_fire_disturbance (1),root_tuber (1),,,,,,,
Lepidium didymum,,0.24,,,,,,,,,,,,,,,,white_cream (1),,,,,annual (6); perennial (5),,herb (7),leaf (4),,,,fire_killed (2),,,,,hermaphrodite (1),,herbaceous (6),,,,,,,,,decumbent (4); prostrate (5),,aquatic (1),,,,,,,,,,
Lepidosperma laterale,,1,,,,,,,,,,,basal_buds (1); bud-bearing_root (1),rhizome (2),elaiosome (1); none (1),barochory (1); myrmecochory (7); zoochory (3),ants (2); invertebrates (3); passive (1),red_brown (1),yynnnnnnyyyy (2); yyynnnnnyyyy (3); yyyyyyyyyyyy (1),,,hemicryptophyte (3),perennial (6),non_nitrogen_fixer (5),graminoid (6); herb (7); tussock (3),,abiotic (3); insect (1); wind (1),abiotic (1),post_fire_recruitment (1); post_fire_recruitment_absent (2),resprouts (8),non_mycorrhizal (2),soil_seedbank (1),long_persistent (1); persistent (4),,andromonoecious (1); hermaphrodite (3); monoecious (1),not_vegetative (6); vegetative (1),herbaceous (4),,not_parasitic (3),absent (4),,glycophyte (3),days (3),1-6_months (3); greater_than_6_months (3); less_than_1_month (3),,rhizomatous (2),herbaceous (1),,,resprouts_non_fire_disturbance (3),rhizome (3),,,,,,,
Leucopogon juniperinus,,0.83,,,,,,,,,,,none (1),,,barochory (1); endozoochory (1); myrmecochory (1); zoochory (1),ants (1); birds (1); vertebrates (1),blue_purple (1); white_cream (1); yellow_orange (1),nnnnnnyyyynn (1); nnnnyynnnnnn (1); nnnnyyyyyynn (2); nnnynnnnnnnn (1),,,,perennial (2),non_nitrogen_fixer (1),shrub (7); subshrub (1),leaf (1),insect (1),,post_fire_recruitment (1),fire_killed (3); partial_resprouting (1),arbuscular_mycorrhizal (1),soil_seedbank (1),persistent (2),,hermaphrodite (1),not_vegetative (1),woody (2),,not_parasitic (1),sharp_pointed_defence (1),not_applicable (1),salinity_tolerance_undefined (1),days (1),not_applicable (1),morphophysiological_dormancy (1),erect (1),woody (1),,,,,,,,,,,calcifuge (1)
Ligustrum lucidum,,10.75,,,,,,,,,,,,,,endozoochory (1),birds (1); flying_vertebrates (1); vertebrates (1),blue_purple (1); green (1); white_cream (1),ynnnnnnnnnny (1); yynnnnnnyyyy (1),nnnnnyyynnnn (1); nnnnyyyynnnn (1),,,perennial (3),,shrub (4); tree (5),leaf (2),,,post_fire_recruitment (1),resprouts (1),,,widely_dispersed (1),,,not_vegetative (1),woody (3),,,,,,,,,,,,,,,,,,,,,
Ligustrum sinense,,3.5,,,,,60,,,,,,,,,endozoochory (1),birds (1); flying_vertebrates (1); vertebrates (1),red_brown (1); white_cream (1),nnnnnnnnnynn (2); nnnnnnnyyyyn (1); nnnnnnyyyyyn (1); nnnnnynnnnnn (1); ynnnnyyyyyyy (1),nnnyyyyyyynn (1); nnyyyyyynnnn (1),,,perennial (3),,shrub (6); tree (2),leaf (2),,,,resprouts (3),,,,,,not_vegetative (1),woody (3),,,,,,,,,prostrate (1),,,,,,,,,,,,
Linum marginale,,0.6,,,,,,,,,,,basal_buds (1); bud-bearing_root (1),non_clonal (1),,barochory (1); epizoochory (1); zoochory (1),invertebrates (1),blue_purple (1); white_cream (1),nnnnnnnnyynn (1); nnnnnnnnyyyn (1); ynnnnnnnnyyy (1); yynnnnnnyyyy (3); yyyyynnnnyyy (1); yyyyyyyyyyyy (1),yyyyynnnnyyy (1),evergreen (1),hemicryptophyte (2),perennial (11),non_nitrogen_fixer (2),herb (12),leaf (4),insect (2); self (1),biotic_unspecialised (1),post_fire_recruitment (1),fire_killed (1); partial_resprouting (1); resprouts (2),arbuscular_mycorrhizal (1),soil_seedbank (1); soil_seedbank_absent (1),long_persistent (1); persistent (1),,hermaphrodite (2); monoecious (1),not_vegetative (2),herbaceous (6),,not_parasitic (1),absent (1),less_than_1_month (1),halophyte_moderate (1),days (1); months (1); weeks (1),less_than_1_month (1),,erect (2),herbaceous (1),,,,,,,,,,,
Linum trigynum,,0.31,,,,,,,,,,,,,,,,yellow_orange (1),nnnnnnnnnynn (1); nnnnnnnnynnn (1); nnnnnnnnyyyn (1); ynnnnnnnnnnn (1); yynnnnnnyyyy (1),,,,annual (6),,herb (7),leaf (4),,,,fire_killed (3),,,,,,,herbaceous (6),,,,,,,,,erect (2),,,,,,,,,,,,
Lissanthe strigosa,,0.69,,,,,,,,,,,basal_stem_buds (1),non_clonal (1),none (1),endozoochory (2); zoochory (1),vertebrates (1),pink (2); white_cream (2),nnnnnnnnynnn (1); nnnnnnnyynnn (1); nnnnnnnyyyyn (1),,,phanerophyte (1),perennial (4),non_nitrogen_fixer (1),shrub (6),leaf (2),insect (1),biotic_unspecialised (1),post_fire_recruitment (1),resprouts (2),ericoid_mycorrhizal (1),,,,hermaphrodite (2); monoecious (1),,woody (3),,,,,,,,morphophysiological_dormancy (1),,woody (2),,,,,,,,,,,
Livistona australis,,18.84,,,,,,,,,,,apical_buds (1); epicormic_buds (1),,fleshy_reward (1),barochory (2); endozoochory (3); zoochory (2),birds (1); vertebrates (3),white_cream (2); yellow_orange (1),nnnnnnnyynnn (1); nnnnnnnyyynn (2); yynnnnnnnnny (2),nyyyyyynnnnn (1),,,perennial (3),non_nitrogen_fixer (1),palmoid (5); tree (6),leaf (3),insect (1),,post_fire_recruitment_absent (1),resprouts (3),,,persistent (1); transient (1),,hermaphrodite (1),not_vegetative (1),semi_woody (1); woody (2),broadleaf (1),not_parasitic (1),absent (1),less_than_1_month (1),glycophyte (1),not_applicable (1),1-6_months (1); less_than_1_month (1),,,,,,,,,,,,,,
Lobelia purpurascens,,6.06,,,,,,,,,,,,,,barochory (1); zoochory (1),invertebrates (1),blue_purple (1); pink (1),nnnnnnnnnnyn (2); nnnnnnnnnynn (1); yyyyynnnnnny (1); yyyyyynnnyyy (3),,,,perennial (2),non_nitrogen_fixer (1),herb (10),leaf (2),insect (1),,,resprouts (4),,,persistent (1),,dioecious (2),vegetative (2),herbaceous (3),,not_parasitic (1),absent (1),less_than_1_month (1),salinity_tolerance_undefined (1),not_applicable (1),less_than_1_month (1),,decumbent (1); prostrate (2),,,,resprouts_non_fire_disturbance (1),rhizome (1),,,,,,,
Lomandra filiformis,,0.25,,,,,,,,,,,stem_tuber (1),rhizome (2),elaiosome (1),anemochory (1); barochory (2); myrmecochory (6); undefined (1); zoochory (1),abiotic (1); animals (1); ants (2); birds (1); passive (1); wind (1),white_cream (1); yellow_orange (2),nnnnnnnnnyyn (5); nnnnnnnnnyyy (1),,evergreen (1),geophyte (1); hemicryptophyte (5),perennial (5),non_nitrogen_fixer (4),graminoid (2); herb (2); tussock (5),leaf (3),insect (2),biotic_unspecialised (1),post_fire_recruitment (1); post_fire_recruitment_absent (2),resprouts (5),non_mycorrhizal (2),soil_seedbank (1); soil_seedbank_absent (1),persistent (2),,dioecious (4),not_vegetative (2); vegetative (2),herbaceous (3),broadleaf (1),not_parasitic (1),absent (1),not_applicable (1),salinity_tolerance_undefined (1),days (1); weeks (1),not_applicable (1),,caespitose (2); dense (2); open (1),,,,resprouts_non_fire_disturbance (1),,,,,,,,
Lomandra longifolia,,0.8,,,,,,,,,,,basal_buds (1); rhizome (1),rhizome (3),elaiosome (1),anemochory (1); barochory (4); myrmecochory (7); zoochory (1),abiotic (1); animals (1); ants (2); birds (1); passive (1); wind (1),blue_purple (1); white_cream (1); yellow_orange (1),nnnnnnnnnyyy (1); nnnnnnnnynnn (1); nnnnnnnnyyyn (4); nnnnnnnyyyyy (1); nnyyyyyyyynn (1); yynnnnnnyyyy (2),nnnnnnyynnnn (1); yyyyyyyyyyyy (1),evergreen (1),geophyte (1); hemicryptophyte (5),perennial (9),non_nitrogen_fixer (6),graminoid (2); herb (7); tussock (7),leaf (6),insect (4),biotic_unspecialised (2),post_fire_recruitment_absent (2),resprouts (11),non_mycorrhizal (3),soil_seedbank (1); soil_seedbank_absent (1),persistent (4),,dioecious (6); hermaphrodite (1); monoecious (1),not_vegetative (4); vegetative (1),herbaceous (5),broadleaf (1),not_parasitic (3),sharp_pointed_defence (3),less_than_1_month (2); not_applicable (1),salinity_tolerance_undefined (1); salt_spray_tolerant (2),days (3); weeks (3),1-6_months (2); less_than_1_month (2); not_applicable (1),morphophysiological_dormancy (1),caespitose (1); dense (1); tufted (1),herbaceous (1),,,resprouts_non_fire_disturbance (3),,,,,,,,
Lomandra multiflora,,0.3,,,,,,,,,,,,,elaiosome (1),anemochory (1); barochory (2); myrmecochory (3); zoochory (1),abiotic (1); animals (1); ants (1); birds (1); passive (1); wind (1),,nnnnyyyyyyyy (1); ynnnnnnnyyyy (1); ynnnnyyyyyyy (1),,,geophyte (1),perennial (2),non_nitrogen_fixer (1),graminoid (1); herb (2); tussock (2),leaf (3),insect (2),,,resprouts (4),,,transient (1),,dioecious (3),vegetative (1),herbaceous (2),broadleaf (1),not_parasitic (1),absent (1),not_applicable (1),salinity_tolerance_undefined (1),days (1),not_applicable (1),,tufted (1),,,,resprouts_non_fire_disturbance (1),,,,,,,,
Lotus angustissimus,,0.18,,,,,,,,,,,,,,,,yellow_orange (1),nnnnnnnnnnyy (2); nnnnnnnnynnn (1); nnnnnnnnyynn (1); ynnnnnnyyyyy (1),yynnnnnnnnny (1),,,annual (6); perennial (6),nitrogen_fixer (1),herb (7),leaf (4),,,,fire_killed (3),arbuscular_mycorrhizal (1),,,,hermaphrodite (1),vegetative (1),herbaceous (6),,not_parasitic (1),absent (1),,,,,,decumbent (3); erect (2); prostrate (2),,,,,,,terrestrial_damp (1),,,,,
Ludwigia peruviana,,1.75,,,,,,,,,,,,,,,,yellow_orange (1),nnnnnnnnnnyn (1); yyyyynnnyyyy (1),,,,perennial (3),,shrub (3),leaf (2),,,,resprouts (1),,,,,hermaphrodite (1),,woody (3),,,,,,,,,erect (1); submerged (1),,aquatic (1),,,,,,,,,,
Lycium ferocissimum,,3.5,,,,,,,,,,,,,,,,white_cream (1),nnnnnnnnnnnn (1); nnnnnnnynnnn (1); nnnnnnnyyynn (1); nnnyynnyyyyy (1); yynnnnnnyyyy (1); yyyyyyyyyyyy (2),,,,perennial (9),,herb (1); shrub (9),leaf (6),,,post_fire_recruitment (1),resprouts (5),arbuscular_mycorrhizal (1),,,,hermaphrodite (1),,woody (9),,not_parasitic (1),thorn (1),,,,,,dense (1); erect (1); prostrate (1),,,,,,,,,,,,
Lyperanthus suaveolens,,0.36,,,,,,,,,,,basal_buds (1),stem_tuber (1),,anemochory (3),wind (2),blue_purple (1); red_brown (3); yellow_orange (2),nnnnnnnyyyyn (3),,,geophyte (3),perennial (3),non_nitrogen_fixer (2),herb (7),leaf (3),insect (2),,,resprouts (3),orchid_mycorrhizal (1),,transient (1),,hermaphrodite (1),vegetative (1),herbaceous (4),,not_parasitic (1),absent (1),not_applicable (1),glycophyte (1),not_applicable (1),not_applicable (1),,,,terrestrial (3),,resprouts_non_fire_disturbance (1),stem_tuber (3),,,,,,,
Lysimachia arvensis,,0.21,,,0.83,,,,,,,,,,,,,blue_purple (1); pink (1); yellow_orange (1),nnnnnnnnyynn (1); nnnnnnnnyyyn (1); nnnnnnnyyyyy (1); ynnnyyyyyyyy (1),yynnnnnnyyyy (1),,hemicryptophyte (1); therophyte (1),annual (9); perennial (2),non_nitrogen_fixer (3),herb (10),leaf (4),,,post_fire_recruitment (1),fire_killed (4),arbuscular_mycorrhizal (4),soil_seedbank (2),transient (2),,hermaphrodite (1),not_vegetative (1),herbaceous (8),,not_parasitic (1),absent (1),,,,,,decumbent (4); erect (1); prostrate (2); sprawling (1); spreading (3),,,,,,,,,,,,
Malva parviflora,,0.63,,,,,,,,,,,basal_buds (1); none (3),,,,,pink (1); white_cream (1),nnnnnnnnynnn (1); ynnnnnnnnnnn (1),,,,annual (6); biennial (3); perennial (3); short_lived_perennial (1),,herb (9),leaf (4),,,post_fire_recruitment (1); post_fire_recruitment_absent (1),fire_killed (5); resprouts (1),,,,,hermaphrodite (1),,herbaceous (7),,,,,,,,,decumbent (3); erect (4); prostrate (3),,,,,no_storage_organ (1),,,,,,,
Medicago polymorpha,,0.31,,,,,,,,,,,,,,,,yellow_orange (1),nnnnnnnnyyyn (1); nnnnnnnyyyyn (1); nnnnnnyyyyyy (1); nyyynynyynnn (1); nyyyyyyyyynn (1); yynnynyyyyyn (1),,,,annual (7),nitrogen_fixer (1),herb (8),leaf (4),,,post_fire_recruitment (1),fire_killed (2),arbuscular_mycorrhizal (1),,long_persistent (1),,,,herbaceous (7),,not_parasitic (1),absent (1),,,,,,decumbent (3); erect (1); prostrate (3),,,,,no_storage_organ (1),,,,,,,
Megathyrsus maximus,,3.12,,,,,,,,,,,rhizome (1),aboveground_clonal (1); belowground_clonal (1),none (1),anemochory (1),,,yynnnnnnnnny (1),,,hemicryptophyte (1); therophyte (1),annual (1); perennial (4),,graminoid (3); herb (2); tussock (3),leaf (1),wind (1),,,resprouts (1),non_mycorrhizal (1),,,,hermaphrodite (1),vegetative (1),herbaceous (4),,,,,,,,,caespitose (1); rhizomatous (1),,,,,rhizome (1),,,,,,,
Melaleuca decora,,7,,,,,,,,,,,basal_buds (1); epicormic_buds (1),,,,,white_cream (1),nnnnnnnnnnny (1); nnnnnnnnnnyn (1); nnnnnnnynnnn (1); yynnnnnnnnny (2),,,,perennial (2),,shrub (3); tree (3),leaf (1),,,,resprouts (1),,canopy_seedbank (1),,,hermaphrodite (1),not_vegetative (1),woody (2),,,,,,,,non_dormant (2),,,,,,,,,,,,,
Melaleuca linariifolia,,9,,,,,48,,,,,,basal_stem_buds (1); epicormic_buds (2),,,anemochory (1),wind (1),white_cream (1),nnnnnnnnnnyn (1); nnnnnnnnnyyn (1); yynnnnnnyyyy (3),,evergreen (1),,perennial (6),non_nitrogen_fixer (2),shrub (5); tree (6),leaf (3),insect (1),,post_fire_recruitment (2),fire_killed (1); resprouts (5),,canopy_seedbank (2); soil_seedbank (1),persistent (1); transient (1),serotinous (1),,not_vegetative (2),woody (6),,not_parasitic (1),absent (1),less_than_1_month (1),salinity_tolerance_undefined (1),not_applicable (1),1-6_months (1); less_than_1_month (1),non_dormant (1),,,,,,,,,,,,,
Melaleuca nodosa,,2.5,,,,,,,,,,,basal_buds (1); basal_stem_buds (1); epicormic_buds (1),,,,,white_cream (1); yellow_orange (1),nnnnnnnnyynn (2); yynnnnnnyyyy (2),,evergreen (1),,perennial (2),non_nitrogen_fixer (1),shrub (4),leaf (1),,,post_fire_recruitment (1),resprouts (4),arbuscular_mycorrhizal (1); ectomycorrhizal (1),canopy_seedbank (1),,,hermaphrodite (1),,woody (2),,,,,,,,non_dormant (1),prostrate (1),woody (1),,,,lignotuber (1),,,,,,,
Melaleuca styphelioides,,10.12,,,,,,,,,,,basal_buds (1); epicormic_buds (2),,,,,white_cream (1),nnnnnnnnnnyn (2); nnnnnnnnnnyy (1); nnnnnnnynnnn (1); yynnnnnnnnny (2),,evergreen (1),,perennial (3),,shrub (4); tree (6),leaf (2),,,post_fire_recruitment_absent (1),resprouts (3),,canopy_seedbank (1),,,hermaphrodite (1),not_vegetative (1),woody (3),,,,,,,,non_dormant (2),,,,,,,,,,,,,
Melia azedarach,,23.07,,,,,,,,,,,basal_buds (1); basal_stem_buds (3); bud-bearing_root (3); rhizome (2),non_clonal (1),fleshy_reward (1),endozoochory (3); zoochory (3),bats (1); birds (2); flying_vertebrates (1); vertebrates (1),blue_purple (1); white_cream (1),nnnnnnnnnynn (1); nnnnnnnnnyyy (1); nnnnnnnnyynn (2); nnnnnnnnyyyn (3); nnnnnnnyyyyy (1); nnnynnnnnnnn (1),nnyyynnnnnnn (1); nnyyyynnnnnn (1),deciduous (2),phanerophyte (1),perennial (9),non_nitrogen_fixer (1),tree (16),leaf (5),bee (1),,post_fire_recruitment (1),resprouts (7),mycorrhizal (1),,transient (2),not_serotinous (1),monoecious (2),not_vegetative (1),woody (8),,,absent (1),,,,,,,,,,,,,,,,,,
Melilotus indicus,,0.44,,,,,,,,,,,,,,,,yellow_orange (1),nnnnnnnnyyyn (1); yyyyyyyyyyyy (1),,,,annual (6); biennial (3),nitrogen_fixer (1),herb (7),leaf (5),,,post_fire_recruitment (1),fire_killed (3),arbuscular_mycorrhizal (1),,long_persistent (1),,,,herbaceous (7),,not_parasitic (1),absent (1),,,,,,decumbent (2); erect (5); prostrate (1); sprawling (1),,,,,,,,,,,,
Microlaena stipoides,,0.66,,1,,,,,,,,,basal_buds (1); bud-bearing_root (1); rhizome (2),belowground_clonal (1); rhizome (2),bristles (1); none (1),anemochory (1); barochory (2); epizoochory (3); undefined (1),mammals (1); passive (1),blue_purple (2); green (2),nnnnnnnnnnnn (1); nnnnyyyyyynn (1); yynnnnnnnnny (1); yyynnnnnnyyy (1),,,hemicryptophyte (4),perennial (13),non_nitrogen_fixer (5),graminoid (11); graminoid_not_tussock (1); herb (5); tussock (2),leaf (4),abiotic (1); self (1); wind (2),abiotic (1),post_fire_recruitment_absent (1),partial_resprouting (15); resprouts (13),arbuscular_mycorrhizal (4); non_mycorrhizal (1),canopy_seedbank_absent (1); soil_seedbank (2),persistent (1),not_serotinous (1),hermaphrodite (3); monoecious (1),not_vegetative (1); vegetative (3),herbaceous (6),,not_parasitic (2),absent (2),less_than_1_month (1),halophyte_moderate (1),days (1); weeks (1),less_than_1_month (1),,decumbent (2); erect (2); rhizomatous (3); tufted (1),herbaceous (1),,,resprouts_non_fire_disturbance (1),rhizome (4),,,,ground (1),,,
Mirbelia rubiifolia,,0.46,,,,,,,,,,,basal_buds (1); bud-bearing_root (1); none (1),,,barochory (2); myrmecochory (1),ants (1),blue_purple (1); pink (1); white_cream (1),nnnnnnnnnyyy (1); nnnnnnnnyyyn (1); nnnnnnnnyyyy (1); yynnnnnnyyyy (1),,evergreen (1),,perennial (3),nitrogen_fixer (2),shrub (9); subshrub (1),leaf (2),insect (1),,post_fire_recruitment (1),fire_killed (7); partial_resprouting (1),arbuscular_mycorrhizal (2); ectomycorrhizal (2),soil_seedbank (3),persistent (2),not_serotinous (1),hermaphrodite (1),not_vegetative (1),woody (3),,not_parasitic (1),sharp_pointed_defence (1),less_than_1_month (1),salinity_tolerance_undefined (1),not_applicable (1),less_than_1_month (1),physical_dormancy (1),prostrate (1); spreading (1),woody (2),,,,,,,,,,,
Misopates orontium,,0.36,,,,,,,,,,,,,,,,blue_purple (1); pink (1); white_cream (1),nnnnnnnnnnnn (1); nnnnnnnnyynn (1); nnnnnnnnyyyn (1),,,,annual (5),,herb (5),leaf (3),,,,,,,,,,,herbaceous (5),,,,,,,,,erect (4),,,,,,,,,,,,
Modiola caroliniana,,0.25,,,,,,,,,,,none (1),,,,,yellow_orange (1),nnnnnnnnynnn (1),,,,annual (2); perennial (4); short_lived_perennial (1),,herb (6),leaf (3),,,post_fire_recruitment (1),fire_killed (3); resprouts (1),,,,,,vegetative (1),herbaceous (5),,,,,,,,,decumbent (1); prostrate (2),,,,,,,,,,,nyyyyyynnnnn (1); yyyyyyynnnyy (1),
Murraya paniculata,,5.12,,,,,,,,,,,basal_stem_buds (2),,fleshy_reward (1),endozoochory (2),vertebrates (1),white_cream (2),nnnnnnnnnnyy (1); nynnnnnnnnnn (1); yynnnnyyyyyy (1); yyynnnnnyyyy (1),nnnnyyyyyynn (1); yyyyyyyynnyy (1),evergreen (4),,perennial (7),,shrub (8); tree (10),leaf (3),,,,fire_killed (1); partial_resprouting (1); resprouts (1),,,transient (1),,hermaphrodite (2),,woody (6),,,,,,,,,bushy (1),,,,,,,,,,,,
Myrsine variabilis,,7.5,,,,,,,,,,,basal_buds (3); basal_stem_buds (3),,fleshy_reward (1),endozoochory (6); zoochory (1),birds (2); flying_vertebrates (1); vertebrates (5),white_cream (1),nnnnnnynnnnn (1); nnnnnnyyynnn (3); nnnnyyyyynnn (1),ynnnnnnnnnyy (1); yyynnnnnnnny (1),evergreen (3),,perennial (3),non_nitrogen_fixer (1),shrub (7); tree (10),leaf (2),insect (2),,post_fire_recruitment_absent (2),resprouts (7),,soil_seedbank (1),persistent (1),,dioecious (2),not_vegetative (2),woody (3),,not_parasitic (1),absent (1),less_than_1_month (1),halophyte_moderate (1); salt_spray_tolerant (1),not_applicable (1),1-6_months (1); less_than_1_month (1),,,,,,,,,,,,,,
Nandina domestica,,2.5,,,,,,,,,,,,,,,,,,,,,perennial (3),,shrub (3),leaf (2),,,,,,,,,,,woody (3),,,,,,,,,,,,,,,,,,,,,
Nassella neesiana,,0.8,,,,,,,,,,,basal_buds (1); root_crown (1),,,,,,nnnnnnnnyyyn (2),,,,perennial (6),,graminoid (4); herb (4),leaf (3),,,post_fire_recruitment (1),resprouts (3),,,long_persistent (1),,,,herbaceous (4),,,,,,,,,caespitose (1); erect (1),,,,,,,,,,,,
Nephrolepis cordifolia,,0.5,,,,,,,,,,,,,,anemochory (1),wind (1),,,,,,perennial (1),,fern (6); herb (1),leaf (3),,,,resprouts (3),,soil_seedbank (1),persistent (1),,,,herbaceous (5),,,,,,,,,,,,,,rhizome (3),,,,,,,
Nerium oleander,,4.17,,,,,,,,,,,,,,,,pink (1); red_brown (1),yynnnnnnnnny (1),,,,perennial (5),,shrub (5); tree (2),leaf (4),,,,resprouts (2),,,,,,,woody (5),broadleaf (1),,,,,,,,erect (1),,,,,,,,,,,,
